item_index,comment,
1007141,I enjoy these ones better than any other brand because they are not bulky and they are contoured to my shape. I suffer heavy periods and they are great.,
1007142,"These pads are comfortable but doesn't really 'move with your body'. It also doesn't really absorb as fast as the other pads,but it is pretty good.",
1007143,this product works for me cause I have a heavy flow and it works very well,
1007144,"I like Always maxi pads. I remember when the wings were messy. That was when I was a girl. Always maxi pads are nothing like Pull-Ups training pants. I buy Always maxi pads at Publix. It is good for overnight protection. I use mostly tampons now. In the nighttime I use maxi pads. In the daytime I use tampons. One night my mom thought my older sister said she needed some math pads, but they were maxi pads. Always maxi pads were introduced in the 1980's. I prefer to use tampons. I also like Stayfree maxi pads.",
1007145,"I am a plus size girl and have a heavy flow usually. This product really protects me and I don't leak, not even at night. It covers alot of ground, and absorbs great!",
1007146,"I love these pads. Ever since these started being sold on store shelves, I have been a loyal consumer. I love how comfortable and absorbent they are. It doesn't even feel like you are wearing anything.",
1007147,"I grabbed a box of these thinking they would be the same as the Always Infinity pads, and they very nearly are. Amazing absorption, fairly comfortable, flexible, good coverage. But the 'light clean scent' is offensive and needs to go. Feminine products should NEVER be scented. I'm so tired of trying to remember to check the fine print on products, they shouldn't even be scented in the first place and I don't want to waste money on a product I hate using. I will be avoiding these shiny, purple boxes like the plague in the future.",
1007148,Stop making pads without wings! Honestly nobody buys them! Wasting your money!,
1007149,They were very comfy and they were VERY light I would use them again,
1007150,"I have recently found this pad, and I love how wide it is. I am normally a tampon user, but these pads have left me feeling very protected. I went back to using a Always Long pad and found it so narrow, ha ha! I am not quite a 14+, and I still find them fantastic. They move well with me, and do not leak when I stand up and my flow increases.",
1007151,I have never reviewed before til now! I agree with barbaraann  0%! I feel like I don't even have them on til it starts to overflow! I have been using the Always Ultra Thin Pads or something cheaper and like them. I do like Always Ultra Thins but compared to these (Radiant Infinity)... yea... It's like saying I want a washcloth instead of a towel when I get out of the shower.. which one would you rather use? A towel right?? If you flow heavy these are most likely the pads for you! If you're a light flower well you now have pads that will last you a long time. I know i'm ranting but I love these pads! lol They can be a bit pricey but they're worth it!,
1007152,"I finally have a pad that is long enough to protect me when I sleep. During my last cycle I had to change the sheets because when I rolled over onto my belly in my sleep everything shifted and made a big mess. Last night would have been one of them nights again, but thanks to this super long pad, I woke up with clean panties and sheets!",
1007153,"I have never done a review for a pad before, but I cannot say enough good things about this pad!! After suffering with a suddenly heavy flow that worsens around 2am, and soaking through a super plus tampon and Always Overnight Maxi, I picked up a package of these and I have slept comfortably ever since! No more getting up 3 times a night to change a super plus tampon and overnight pad. I feel so protected, have had no leaks, and they stay where they are supposed to. I tend to leak at the front and they gave me lots of coverage at the front, while keeping my back end nicely covered too. I can sleep in any position I want, without having to worry about leaking everywhere. Yes they are bulky, but I find that reassuring knowing I am covered. I used to stick to Always overnights maxi or Overnights Infinity and I will not go back for the heaviest nights during my cycle. My flow suddenly increased overnight, and the pad held everything. Usually I would be awoken when that happens, but I did not even realize until I got up the next time. The two sets of wings are a lifesaver. I usually have to make a run for the bathroom when I get up to avoid leaks, but I had no such worries, the pad absorbed everything right away. Even my hubby is pleased! I can sleep better, and I am not getting up a million times to see if I am leaking everywhere. I used to be a tampons all the time girl, but you have converted me Always! I picked up the Always Maximum Protection Maxis and Ultra Thins too, and while I would normally never leave the house wearing a pad, I feel so confident in their protection that I spent my whole day running errands using them!",
1007154,"Please bring the plus size pads back. With the plus size pad I was confident that I did not have to worry about leakage, but now I am constantly going back and forth to the restoom. We need this pad back.",
1007155,"The original Always Regular Maxi pads went away? Since when? I switch back and forth between products but I'm quite sure these were still sold at my local supermarket. These work great but I sometimes get bored with the same product, like bar soap. I plan to buy again!",
1007156,"I only just discovered this option last month, and I am so glad I did. -  - I always have to put the green and orange pads on backwards because of flow issues--but with this, even though some of the pad is (as a previous reviewer put it) 'wasted', I can put it on like a normal pad. I LOVE this thing. I can wear it and not worry at ALL about any leaking into my pants in the front OR in the back.",
1007157,Hi. The product itself is very good and very comfortable BUT I object to spending over 33p per pad when their usual products are around 17p per pad (Still too expensive to my mind) -  - So although I really liked these I wont buy them again as they cost far too much.,
1007158,This was FINALLY the pad we all had wanted and it was functional comfortable and reliable. Most other pads are too short and fall off because they were made for toothpicks that bleed a pin drop and are done. BRING BACK THE 14+,
1007159,"I really do encourage girls to buy this,it makes you feel really clean! This helps for sensitive skin.",
1007160,"Only sanitary give me one hundred percent protection through the night, the only product that never let me down, that never leaked and stained my favorite nightwear and bedding. would recommend these sanitary napkins every menstruating girl is inspired by the women completed, full protection like in the bank, despite the size of the high level of comfort is virtually imperceptible",
1007161,"I only use pads at night and just as extra protection with a tampon, so if there's anytime i don't want to wear an uncomfortable pad, it's at night when I'm trying to go to sleep. I usually just bought the cheaper name brand pads, since I don't use them constantly, but bought these when they were on sale and I will never go back to another brand. These pads are so comfortable and flexible; I can barely feel them. The shape of the pad makes it super easy to wear with any kind of underwear. I usually wouldn't even take the time to write a review for a pad that I only use at night, but I am so impressed with these that I had to. If you primarily use pads, do yourself a favor and buy these. It's the first pad I've ever used that didn't just advertise as being super comfortable and absorbent, but WERE super comfortable and absorbent!",
1007162,This is the best pad I have used in ages - the always infinity. It really locks in all the blood and is a superb length (the green wrapped ones). However I noticed they don't grip properly to my net knickers. They do grip well to my cotton knickers . Please a little more sticky tape will help. But anyway thanks for a great product.,
1007163,"I just stared my periods and started using Always Radiant Infinity Teen Pads, and they last up my entire school day and on heavier flow day I just change it more often",
1007164,Always please bring these pads back. Plus size 14+ is what womem want. These are the only pads that work for heavy bleeders.,
1007165,"These pads are NOT 'long'- they are more like a standard 'regular' pad. - I also feel manipulated because they call some 'odor lock', and I thought that was what I was getting. But the ones I bought are called �dor core`, which really doesn`t mean anything other than like any pad, the smell is initially absorbed but that's it. - So I feel like I have been tricked by false advertising on two levels. - Not impressed. I won`t be buying your products any more. The no name brands are just as good.",
1007166,I usually use 'lightdays' long. I do also occasionally use your product. I use your regular pads. I have now purchased this mega box of liners at Costco-they were labelled as 'long'. They are NOT long!!!! They also seem cheaply made for a name brand product. There is alo confusion as to 'odor lock' vs 'odor control'. I feel likeI am being manipulated and messed with. I won't be buying these again. I probably won't buy any of your products again.,
1007167,They are almost perfect - the best pad in terms of shape and absorbency. Even compared to the large ones with wings. So comfortable. But why the yucky baby powder fragrance? It's unpleasant and doesn't need to be there. Please make a version without it!!!,
1007168,"It's thin,soft,so absorbent, I'd recommend Infinity to any girl asking for recommendation. Best pad EVER. Period.",
1007169,testtesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttest,
1007170,"These pads are the only ones that don't make me leak. They absorb a lot but the pad's wings are annoying. I have a normal to heavy flow and i usually have to change my pad every 2 - 4 hours but these pads give me at least 6 hours or more. Try these pads, you will not regret buying them.",
1007171,"I don't buy anything, but always because they work for me. I won't use any other brand of pads.",
1007172,"I was at first reluctant to buy this product because it was a bit higher than the regular always pads. I don't like to by the cheapo brands (because they don't work) but I also like to save money. But eventually, I decided to spring on them (with a coupon). I found this particuliar Always product ot be more absorbant. I have a heavy cycle and just thought that I would have a life time of tiny accidents on my two heavest days. At the very least, I have to use tampon/pad combo and go through the two in one hour time. Not the case anymore! I can now sleep through the night with no worries, regardless of my flow...with just the pad! They are super absorbant, they wick the unpleasantness (including moisture) away from your body, and they have an awesome odor guard. NO more accidents (not even at night), NO more frequent changes every hour upon the hour, and NO more tampons! WORTH the extra cents!!!",
1007173,"Always Maxi Long Super Pads are the only ones I use. A few months back, I began using Poise liners between periods to help with my LBL. They work, but are not as comfortable as my Always. And for my LBL, these Always work just as well if not better. And are comfortable! Great product! For all of my needs. Thanks!!",
1007174,"I have heavy flow, but also need a pad that can deal with odors. This pad is perfect for me. It's comfortable and it works.",
1007175,"The pad absorbs a lot of liquid.. HOWEVER you never see how much it absorbed until you take it off and look at the back.. Which is why some individuals have had accidents.. The liquid disperses throughout the pad, showing very little on top.. This can be difficult to get use too...or judge when to actually change the pad.. HOWEVER once the learning curve is mastered, this pad is THE BEST EVER!!! So breathable, flexible, soft, not irritating, and never smells bad...",
1007176,I just bought these and wore it the WHOLE school day (8 hours) and it still was dry to the touch! I wished they made these without wings though!!!,
1007177,PLEASE BRING THIS PRODUCT BACK! I HAVE BOUGHT THE INVENTORY AT EACH STORE I CAN FIND THEM AT! -  - PLEASE RECONSIDER. -  - THANK YOU!,
1007178,I tried these pads for the first time since I had a coupon. I landed up with a terrible rash and infection. The doctors told me that the chemicals used in this product are so harsh that they caused irritation. Will never go back and use any type of Always products again.,
1007179,I used to break out in a rash when I used Always....... but recently my regular store stopped carrying the overnight pads I used...... So I tried your overnights and WOW!! I have never used a pad that even starts to cover the spots yours hits!!! And thankfully no more rash!! I have to say thank you for saving my new sheets!! Thank you for offering a product that provides the protection I need!!!,
